users in this chat 
(ToT)⚜ɑ̈̈н̈̈м̈̈ɑ̈̈d̈̈🔰⚜ρ̈̈_⚜я̈̈🔰⚜(ToT) [88781030] = 10
✴HAMED✴ [114630536] = 10
👑_U.S.N_👑 [116566164] = 10
✧•°૨မभမ°•✧ [101219679] = 9
♣Њสşลห♣_(Repam) [143169033] = 9
NԾЏﾑ_ﾉㄎ_Ð乇ﾑÐ_! [193030426] = 9
卐DAL🚫ابــد🚫TON卐 [182951617] = 9
@pøuyá__:-/ [164577609] = 8
♣♬❥َُِِّّْدًٍََُُِِّّْْاًٍََُُِِّّْْفَُِّْـَُِّْـًٍََُُِِّّْْـ↫ًٍََُُِِّّْْـًٍََُُِِّّْْـًٍ0ًٍ2ًٍ1ًٍََُُِِّّْْـًٍََُُِِّّْْ↬ـًٍََُُِِّّْْـًٍََُُِِّّْْےَُِّْ❥♬♣ [150168981] = 8
ریپRσみนℓℓคみورتم_باو [104097947] = 8
😠Telespeed💪 [124381409] = 8
Sam_Mosad [167199863] = 8
رضـََُِِِـََََُُِِِِِِـََُِِِـََُِ🔥ِ🇷🇪🇿_🇦ََُِ🔥ـ۪۪ٜؓؔـََُِِِـََُِِِا [183246867] = 7
@آــیت_الــلــه_ـاَمــیـــــًٌٰــــررِضــــٰٓـٓا(پولاد) [164798548] = 7
Assistant_psg [179272817] = 7
✪﷽✘پــَُِّْـًٍََُُِِّّْْـًًًًًًٍٍٍٍٍٍٍٍٍِْ┅ًٍََُُِِّّْْـًٍ҉ًًًًًًٍٍٍٍٍٍِْْٰٓှًًٍٍََُُِِّّْْٰـּًًًًٍٍٍٍ͜͡┅ًٍََُُِِّّْْــریمــَُِّْـًٍََُُِِّّْْـًًًًًًٍٍٍٍٍٍٍٍٍِْ┅ًٍََُُِِّّْْـًٍ҉ًًًًًًٍٍٍٍٍٍِْْٰٓှًًٍٍََُُِِّّْْٰـּًًًًٍٍٍٍ͜͡┅ًٍََُُِِّّْْــا✘﷽✪ [191670643] = 7
﷽_ℜɛzα_↬B̲↯L̲H⇜_™_̲ [106449509] = 7
وروجــــــــــــــــــــbãbãmــــــــــــــــــــک [165438210] = 7
Torange_(pe)_Report [161960732] = 7
ılıı_😡_ıılı‌‌‌_₣Ʉ₵₭_Ø₣₣_ılıı_😡_ıılı‌‌‌#11 [162426384] = 7
Fot_khord._Ch_______ch_________ch_______ch__________ch______vvv_____vvvv____vvvvv___vvvvv_____vvvvvv_____vvvvvv______vvvvv_________vvvvvv_______vvvvvvv______vvvvvv____vvvvvv_______vvvvvv________vvvvvvv______vvvvvvvv__________vvvvvv_______vvvvvvv_______vvvvvvv [197595800] = 7
👑مجازات_گر👑 [131090864] = 7
حسین_خاصه_چون_خدا_خاسته [103168914] = 6
👈🗽💪اَشُـــÅ$⒣KѦИکانــــــ💪🗽👉 [127581178] = 6
مـٍِـٍـٍٍٍٍـٍـٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍـٍـٍِْْْــِْْ✍ℳąɧ҉_ŷஇ尺✍ـــہـٍِـٍٍٍٍـٍـيٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍِْْْاږ [166812414] = 6
SΞ∩ลاَمیــــ👣ـــرŦ๑ℜ [107121077] = 6
ÅℜℳЇИ [124401076] = 5
۞卐_єяƒαη_∂αяк_卐۞TMR_MRG_👊RIPORT👊 [148356001] = 5
TeleGulf_Helperbot [213836972] = 5
انسانی_ازجنس_خاک [167974032] = 5
▁▂▃↫گ‍_‍ر_گ‍_‍_ر_و_ز_گ‍_‍ا_ر↬_▃▂▁ [97245867] = 5
Amir#1 [70024799] = 5
卐✟SHIELD۞DEVILS✟卐 [145859613] = 5
🇦🇲🇮🇷_🇧🇪_🇬🇦🇲 [171857572] = 5
sabur [172359453] = 4
❤ــــــℓσvεــــــ❤ [215397773] = 4
Amıř_ɧơŞɛıŋ_↬B̲↯L̲H⇜ریپورتم_ریپورتمم20_استیکر_بده [94269208] = 4
shirin [142837758] = 4
Alireza_Fereidouni_Faruji_🎭TÅℜD🎭 [139946685] = 4
⚡TELE_JIAN⚡ [122472026] = 4
sɐɹʍɐu [99938904] = 4
ＡＬＩ_ヅ [105616381] = 3
I_m_GUNDAMشکارچی_اتحاد [60061031] = 3
